Pokemon_Name,Pokemon_Tier,Level,HP_Percent,Status_Effect,Pokeball_Type,Catch_Result
Poliwag,Common,83,39,None,Great Ball,Escaped
Palkia,Legendary,45,34,None,Poke Ball,Escaped
Snorlax,Rare,60,81,None,Ultra Ball,Escaped
Magikarp,Common,9,30,Sleep,Poke Ball,Caught
Aerodactyl,Rare,56,76,None,Poke Ball,Escaped
Pidgey,Common,62,24,Paralyze,Poke Ball,Escaped
Bagon,Rare,26,90,Sleep,Poke Ball,Escaped
Zubat,Common,16,54,None,Ultra Ball,Caught
Zubat,Common,56,4,Sleep,Great Ball,Caught
Bidoof,Common,52,65,None,Poke Ball,Escaped
Bagon,Rare,73,83,Sleep,Great Ball,Escaped
Gible,Rare,39,77,None,Poke Ball,Escaped
Pidgey,Common,91,57,None,Ultra Ball,Escaped
Bidoof,Common,95,95,Sleep,Poke Ball,Escaped
Dratini,Rare,72,98,Paralyze,Great Ball,Escaped
Rattata,Common,10,66,Sleep,Poke Ball,Escaped
Geodude,Common,96,1,Sleep,Great Ball,Caught
Ho-Oh,Legendary,79,61,None,Poke Ball,Escaped
Caterpie,Common,83,98,None,Ultra Ball,Escaped
Larvitar,Rare,81,26,Poison,Poke Ball,Escaped
Arceus,Legendary,74,20,Paralyze,Poke Ball,Escaped
Geodude,Common,62,13,None,Great Ball,Escaped
Oddish,Common,51,72,Paralyze,Great Ball,Escaped
Bidoof,Common,58,20,None,Great Ball,Escaped
Snorlax,Rare,84,37,None,Great Ball,Escaped
Magikarp,Common,50,83,None,Great Ball,Escaped
Beldum,Rare,54,99,None,Poke Ball,Escaped
Dratini,Rare,97,12,Sleep,Poke Ball,Escaped
Pidgey,Common,35,70,Poison,Great Ball,Escaped
Beldum,Rare,28,59,Sleep,Ultra Ball,Caught
Gible,Rare,89,70,Paralyze,Poke Ball,Escaped
Oddish,Common,32,7,Poison,Great Ball,Caught
Arceus,Legendary,59,80,Paralyze,Great Ball,Escaped
Beldum,Rare,85,48,Sleep,Great Ball,Escaped
Arcanine,Rare,65,20,None,Poke Ball,Escaped
Caterpie,Common,56,62,Sleep,Poke Ball,Escaped
Gible,Rare,46,98,Sleep,Poke Ball,Escaped
Gible,Rare,36,39,None,Ultra Ball,Escaped
Beldum,Rare,7,99,Sleep,Poke Ball,Escaped
Aerodactyl,Rare,58,57,None,Poke Ball,Escaped
Sentret,Common,64,57,Sleep,Poke Ball,Escaped
Snorlax,Rare,92,8,None,Great Ball,Escaped
Zubat,Common,12,96,Sleep,Ultra Ball,Caught
Gyarados,Rare,77,25,Sleep,Great Ball,Escaped
Pidgey,Common,62,77,None,Poke Ball,Escaped
Oddish,Common,8,73,None,Poke Ball,Escaped
Larvitar,Rare,93,15,Poison,Great Ball,Escaped
Sentret,Common,48,49,None,Poke Ball,Escaped
Zigzagoon,Common,57,38,Sleep,Great Ball,Caught
Beldum,Rare,88,24,None,Great Ball,Escaped
Pidgey,Common,75,12,Paralyze,Poke Ball,Caught
Oddish,Common,54,2,None,Ultra Ball,Caught
Zigzagoon,Common,32,8,Sleep,Poke Ball,Caught
Geodude,Common,29,97,Poison,Poke Ball,Escaped
Ho-Oh,Legendary,10,77,None,Great Ball,Escaped
Chansey,Rare,6,21,Paralyze,Great Ball,Caught
Chansey,Rare,45,75,None,Poke Ball,Escaped
Zigzagoon,Common,20,31,Paralyze,Poke Ball,Caught
Giratina,Legendary,95,51,Sleep,Ultra Ball,Escaped
Lapras,Rare,98,53,None,Poke Ball,Escaped
Caterpie,Common,47,23,Paralyze,Poke Ball,Escaped
Caterpie,Common,7,42,Paralyze,Great Ball,Caught
Snorlax,Rare,90,61,None,Ultra Ball,Escaped
Geodude,Common,41,32,Sleep,Great Ball,Caught
Magikarp,Common,56,40,None,Ultra Ball,Caught
Sentret,Common,14,91,Sleep,Ultra Ball,Caught
Beldum,Rare,59,99,Sleep,Poke Ball,Escaped
Bidoof,Common,72,96,None,Great Ball,Escaped
Geodude,Common,21,13,Poison,Great Ball,Caught
Zigzagoon,Common,90,29,None,Poke Ball,Escaped
Lugia,Legendary,97,18,Paralyze,Poke Ball,Escaped
Magikarp,Common,21,69,None,Great Ball,Escaped
Magikarp,Common,54,72,Paralyze,Ultra Ball,Caught
Bidoof,Common,78,41,None,Great Ball,Escaped
Mewtwo,Legendary,55,40,Sleep,Great Ball,Escaped
Zigzagoon,Common,52,11,Poison,Ultra Ball,Caught
Scyther,Rare,83,64,Poison,Poke Ball,Escaped
Rattata,Common,17,70,None,Great Ball,Escaped
Poliwag,Common,56,41,None,Great Ball,Escaped
Pidgey,Common,63,39,Paralyze,Great Ball,Caught
Scyther,Rare,58,12,None,Poke Ball,Escaped
Beldum,Rare,15,60,None,Ultra Ball,Escaped
Bidoof,Common,3,61,Sleep,Great Ball,Caught
Geodude,Common,14,67,Sleep,Poke Ball,Escaped
Caterpie,Common,38,37,None,Poke Ball,Escaped
Dratini,Rare,51,86,None,Poke Ball,Escaped
Zubat,Common,3,78,Sleep,Ultra Ball,Caught
Dratini,Rare,62,49,None,Ultra Ball,Escaped
Bidoof,Common,70,42,None,Great Ball,Escaped
Bidoof,Common,2,15,None,Poke Ball,Caught
Geodude,Common,16,65,Poison,Great Ball,Escaped
Beldum,Rare,82,8,None,Great Ball,Escaped
Zigzagoon,Common,64,56,Sleep,Great Ball,Escaped
Weedle,Common,7,94,None,Ultra Ball,Escaped
Groudon,Legendary,39,64,None,Great Ball,Escaped
Bidoof,Common,14,62,Paralyze,Poke Ball,Escaped
Sentret,Common,63,100,None,Poke Ball,Escaped
Pidgey,Common,27,11,Poison,Great Ball,Caught
Weedle,Common,17,62,None,Great Ball,Escaped
Rattata,Common,24,98,Poison,Ultra Ball,Caught
Oddish,Common,44,75,Sleep,Poke Ball,Escaped
Pidgey,Common,81,53,None,Ultra Ball,Escaped
Beldum,Rare,28,83,Sleep,Poke Ball,Escaped
Chansey,Rare,36,30,None,Poke Ball,Escaped
Geodude,Common,40,43,Sleep,Poke Ball,Caught
Weedle,Common,41,9,None,Ultra Ball,Caught
Zapdos,Legendary,87,96,Paralyze,Poke Ball,Escaped
Sentret,Common,95,58,None,Ultra Ball,Escaped
Larvitar,Rare,47,70,None,Great Ball,Escaped
Poliwag,Common,8,66,None,Great Ball,Escaped
Pidgey,Common,82,77,Sleep,Poke Ball,Escaped
Beldum,Rare,89,61,None,Poke Ball,Escaped
Magikarp,Common,83,41,None,Ultra Ball,Escaped
Geodude,Common,57,68,Paralyze,Ultra Ball,Escaped
Zigzagoon,Common,98,8,None,Ultra Ball,Caught
Snorlax,Rare,74,92,Paralyze,Ultra Ball,Escaped
Weedle,Common,75,90,Sleep,Great Ball,Escaped
Sentret,Common,25,70,None,Ultra Ball,Escaped
Oddish,Common,98,62,Sleep,Great Ball,Escaped
Zubat,Common,70,31,None,Great Ball,Escaped
Magikarp,Common,6,70,Paralyze,Poke Ball,Escaped
Chansey,Rare,25,51,None,Great Ball,Escaped
Rattata,Common,98,32,Paralyze,Great Ball,Caught
Oddish,Common,100,7,Sleep,Ultra Ball,Caught
Scyther,Rare,74,30,None,Great Ball,Escaped
Caterpie,Common,81,80,Sleep,Ultra Ball,Escaped
Oddish,Common,74,91,Paralyze,Great Ball,Escaped
Bidoof,Common,20,48,Sleep,Great Ball,Caught
Aerodactyl,Rare,22,8,None,Ultra Ball,Caught
Gible,Rare,2,31,None,Great Ball,Escaped
Magikarp,Common,1,59,Poison,Ultra Ball,Caught
Aerodactyl,Rare,33,100,None,Poke Ball,Escaped
Poliwag,Common,43,81,None,Great Ball,Escaped
Zubat,Common,23,91,Paralyze,Poke Ball,Escaped
Bidoof,Common,33,38,None,Poke Ball,Escaped
Kyogre,Legendary,71,22,Paralyze,Poke Ball,Escaped
Articuno,Legendary,27,14,None,Ultra Ball,Escaped
Geodude,Common,77,97,None,Great Ball,Escaped
Geodude,Common,81,26,Sleep,Great Ball,Escaped
Sentret,Common,78,70,Sleep,Great Ball,Escaped
Magikarp,Common,74,26,Paralyze,Great Ball,Caught
Giratina,Legendary,76,89,None,Great Ball,Escaped
Poliwag,Common,2,43,Sleep,Great Ball,Caught
Gyarados,Rare,23,20,Sleep,Great Ball,Caught
Snorlax,Rare,51,68,None,Great Ball,Escaped
Lapras,Rare,69,15,Sleep,Great Ball,Caught
Pidgey,Common,37,50,None,Great Ball,Escaped
Aerodactyl,Rare,77,37,Sleep,Great Ball,Escaped
Pidgey,Common,52,99,None,Ultra Ball,Escaped
Sentret,Common,50,69,Paralyze,Poke Ball,Escaped
Larvitar,Rare,80,35,Paralyze,Ultra Ball,Escaped
Chansey,Rare,52,29,None,Great Ball,Escaped
Geodude,Common,14,65,None,Ultra Ball,Escaped
Rattata,Common,42,8,Sleep,Poke Ball,Caught
Oddish,Common,82,93,None,Great Ball,Escaped
Bidoof,Common,71,93,Poison,Ultra Ball,Caught
Bidoof,Common,89,82,Sleep,Great Ball,Escaped
Aerodactyl,Rare,92,60,None,Poke Ball,Escaped
Zubat,Common,76,43,None,Poke Ball,Escaped
Geodude,Common,35,89,Poison,Poke Ball,Escaped
Rattata,Common,98,32,None,Poke Ball,Escaped
Rattata,Common,39,22,Paralyze,Ultra Ball,Caught
Gyarados,Rare,23,37,None,Great Ball,Escaped
Zubat,Common,80,55,Sleep,Great Ball,Escaped
Bidoof,Common,75,10,None,Ultra Ball,Caught
Lapras,Rare,76,73,None,Ultra Ball,Escaped
Magikarp,Common,67,21,None,Poke Ball,Escaped
Sentret,Common,80,15,Sleep,Ultra Ball,Caught
Arcanine,Rare,40,52,Paralyze,Ultra Ball,Escaped
Giratina,Legendary,47,78,Sleep,Ultra Ball,Escaped
Snorlax,Rare,24,99,None,Poke Ball,Escaped
Bidoof,Common,9,43,Sleep,Poke Ball,Caught
Sentret,Common,57,47,None,Poke Ball,Escaped
Oddish,Common,87,61,Sleep,Ultra Ball,Caught
Snorlax,Rare,81,36,Sleep,Poke Ball,Escaped
Poliwag,Common,35,50,None,Poke Ball,Escaped
Zigzagoon,Common,78,86,Paralyze,Great Ball,Escaped
Weedle,Common,51,82,None,Poke Ball,Escaped
Pidgey,Common,70,64,None,Poke Ball,Escaped
Oddish,Common,50,99,None,Poke Ball,Escaped
Beldum,Rare,97,44,None,Great Ball,Escaped
Poliwag,Common,80,2,None,Poke Ball,Escaped
Chansey,Rare,7,92,Sleep,Poke Ball,Escaped
Poliwag,Common,13,49,None,Great Ball,Escaped
Pidgey,Common,90,31,Poison,Poke Ball,Escaped
Rattata,Common,86,96,Paralyze,Great Ball,Escaped
Weedle,Common,67,6,Paralyze,Great Ball,Caught
Rattata,Common,39,53,None,Poke Ball,Escaped
Palkia,Legendary,95,80,Sleep,Ultra Ball,Escaped
Bidoof,Common,42,70,None,Ultra Ball,Escaped
Bidoof,Common,51,28,None,Ultra Ball,Escaped
Caterpie,Common,2,34,Poison,Ultra Ball,Caught
Dratini,Rare,52,50,Poison,Poke Ball,Escaped
Arcanine,Rare,18,3,None,Ultra Ball,Caught
Lapras,Rare,37,14,None,Ultra Ball,Caught
Pidgey,Common,30,53,None,Poke Ball,Escaped
Bagon,Rare,30,24,Paralyze,Poke Ball,Escaped
Rattata,Common,61,75,None,Poke Ball,Escaped
Zigzagoon,Common,89,14,None,Ultra Ball,Caught
Poliwag,Common,14,78,None,Poke Ball,Escaped
Bagon,Rare,35,66,Sleep,Ultra Ball,Escaped
Geodude,Common,11,41,None,Poke Ball,Escaped
Poliwag,Common,63,20,None,Great Ball,Escaped
Snorlax,Rare,76,83,Sleep,Poke Ball,Escaped
Caterpie,Common,29,84,Sleep,Poke Ball,Escaped
Zubat,Common,30,7,None,Poke Ball,Escaped
Beldum,Rare,5,85,Paralyze,Great Ball,Escaped
Gyarados,Rare,15,16,None,Ultra Ball,Caught
Pidgey,Common,31,7,None,Great Ball,Escaped
Mewtwo,Legendary,53,59,Paralyze,Great Ball,Escaped
Arceus,Legendary,84,97,None,Great Ball,Escaped
Poliwag,Common,76,96,None,Great Ball,Escaped
Gible,Rare,65,42,None,Great Ball,Escaped
Zigzagoon,Common,31,31,Poison,Ultra Ball,Caught
Bidoof,Common,35,53,None,Ultra Ball,Caught
Bidoof,Common,78,81,None,Ultra Ball,Escaped
Palkia,Legendary,2,53,None,Poke Ball,Escaped
Geodude,Common,50,24,None,Ultra Ball,Caught
Lapras,Rare,60,84,Paralyze,Great Ball,Escaped
Magikarp,Common,30,99,None,Ultra Ball,Escaped
Weedle,Common,8,65,None,Poke Ball,Escaped
Bagon,Rare,44,93,None,Great Ball,Escaped
Oddish,Common,72,67,Paralyze,Great Ball,Escaped
Gible,Rare,59,53,None,Great Ball,Escaped
Zapdos,Legendary,10,46,None,Great Ball,Escaped
Weedle,Common,1,18,None,Ultra Ball,Caught
Rayquaza,Legendary,29,46,Poison,Poke Ball,Escaped
Rayquaza,Legendary,94,86,Poison,Poke Ball,Escaped
Weedle,Common,51,24,None,Great Ball,Escaped
Larvitar,Rare,13,7,None,Great Ball,Caught
Oddish,Common,35,54,None,Great Ball,Escaped
Oddish,Common,14,82,None,Ultra Ball,Caught
Gyarados,Rare,13,85,Poison,Ultra Ball,Escaped
Magikarp,Common,64,16,Sleep,Great Ball,Caught
Sentret,Common,19,74,Sleep,Great Ball,Escaped
Zigzagoon,Common,4,2,Sleep,Poke Ball,Caught
Scyther,Rare,84,12,Sleep,Poke Ball,Escaped
Rattata,Common,76,40,Sleep,Great Ball,Caught
Rattata,Common,53,41,Paralyze,Great Ball,Escaped
Bidoof,Common,30,6,None,Poke Ball,Caught
Aerodactyl,Rare,54,26,None,Poke Ball,Escaped
Oddish,Common,21,11,None,Poke Ball,Caught
Geodude,Common,32,32,None,Great Ball,Escaped
Chansey,Rare,21,86,Sleep,Great Ball,Escaped
Lapras,Rare,15,31,None,Great Ball,Escaped
Geodude,Common,89,32,None,Great Ball,Escaped
Caterpie,Common,24,14,Sleep,Ultra Ball,Caught
Beldum,Rare,56,99,Sleep,Poke Ball,Escaped
Magikarp,Common,13,18,Poison,Great Ball,Caught
Pidgey,Common,97,58,Poison,Ultra Ball,Escaped
Larvitar,Rare,23,75,Sleep,Poke Ball,Escaped
Caterpie,Common,28,75,Paralyze,Ultra Ball,Caught
Scyther,Rare,14,61,Poison,Great Ball,Escaped
Lugia,Legendary,57,74,Paralyze,Great Ball,Escaped
Oddish,Common,53,52,Sleep,Ultra Ball,Caught
Aerodactyl,Rare,23,24,Sleep,Poke Ball,Escaped
Magikarp,Common,7,91,None,Ultra Ball,Escaped
Zubat,Common,94,75,Poison,Ultra Ball,Caught
Pidgey,Common,81,38,None,Poke Ball,Escaped
Caterpie,Common,15,69,Sleep,Great Ball,Caught
Geodude,Common,94,97,Sleep,Great Ball,Escaped
Weedle,Common,24,25,Sleep,Poke Ball,Caught
Geodude,Common,76,49,None,Ultra Ball,Caught
Pidgey,Common,36,69,Poison,Great Ball,Escaped
Caterpie,Common,80,44,None,Ultra Ball,Caught
Scyther,Rare,18,7,None,Poke Ball,Escaped
Larvitar,Rare,80,51,None,Ultra Ball,Escaped
Gyarados,Rare,93,46,None,Poke Ball,Escaped
Zigzagoon,Common,53,90,Paralyze,Ultra Ball,Caught
Zapdos,Legendary,27,45,Paralyze,Poke Ball,Escaped
Giratina,Legendary,50,15,None,Great Ball,Escaped
Geodude,Common,52,44,None,Great Ball,Escaped
Bagon,Rare,13,86,None,Great Ball,Escaped
Rattata,Common,9,2,None,Great Ball,Caught
Rattata,Common,85,35,None,Great Ball,Escaped
Beldum,Rare,72,66,None,Great Ball,Escaped
Chansey,Rare,72,34,Paralyze,Ultra Ball,Caught
Bidoof,Common,21,12,Poison,Ultra Ball,Caught
Geodude,Common,35,8,None,Ultra Ball,Caught
Geodude,Common,58,20,None,Great Ball,Caught
Rattata,Common,16,57,None,Ultra Ball,Caught
Oddish,Common,35,87,Paralyze,Great Ball,Escaped
Aerodactyl,Rare,7,96,Paralyze,Great Ball,Escaped
Dratini,Rare,27,19,Sleep,Great Ball,Caught
Scyther,Rare,53,91,None,Ultra Ball,Escaped
Zigzagoon,Common,24,22,Sleep,Great Ball,Caught
Gyarados,Rare,8,74,None,Ultra Ball,Escaped
Lugia,Legendary,58,47,None,Great Ball,Escaped
Bagon,Rare,91,3,Paralyze,Poke Ball,Escaped
Scyther,Rare,87,21,Sleep,Poke Ball,Escaped
Zubat,Common,36,75,Sleep,Great Ball,Escaped
Pidgey,Common,13,84,Paralyze,Great Ball,Escaped
Pidgey,Common,43,99,Sleep,Great Ball,Caught
Groudon,Legendary,31,4,None,Great Ball,Escaped
Rattata,Common,16,32,None,Ultra Ball,Caught
Zigzagoon,Common,72,75,None,Ultra Ball,Escaped
Caterpie,Common,33,4,None,Ultra Ball,Caught
Geodude,Common,75,21,Paralyze,Poke Ball,Escaped
Arceus,Legendary,29,13,None,Poke Ball,Escaped
Sentret,Common,79,47,Poison,Poke Ball,Escaped
Gible,Rare,57,86,Paralyze,Poke Ball,Escaped
Poliwag,Common,49,96,None,Poke Ball,Escaped
Pidgey,Common,8,78,None,Ultra Ball,Escaped
Geodude,Common,57,86,Sleep,Ultra Ball,Caught
Beldum,Rare,42,15,Sleep,Ultra Ball,Caught
Arcanine,Rare,21,68,None,Great Ball,Escaped
Arcanine,Rare,33,92,None,Poke Ball,Escaped
Caterpie,Common,71,39,Sleep,Ultra Ball,Caught
Oddish,Common,59,59,None,Great Ball,Escaped
Zubat,Common,77,80,None,Great Ball,Escaped
Pidgey,Common,84,10,Paralyze,Poke Ball,Caught
Sentret,Common,62,20,Paralyze,Poke Ball,Caught
Palkia,Legendary,42,99,None,Great Ball,Escaped
Zubat,Common,69,61,None,Great Ball,Escaped
Lapras,Rare,8,93,Paralyze,Great Ball,Escaped
Zapdos,Legendary,31,72,Paralyze,Great Ball,Escaped
Rattata,Common,48,18,None,Poke Ball,Escaped
Geodude,Common,44,3,None,Ultra Ball,Caught
Dratini,Rare,89,99,Poison,Great Ball,Escaped
Larvitar,Rare,31,30,Poison,Poke Ball,Escaped
Chansey,Rare,38,92,Sleep,Great Ball,Escaped
Caterpie,Common,67,46,Poison,Great Ball,Escaped
Pidgey,Common,69,2,None,Poke Ball,Escaped
Caterpie,Common,32,44,Paralyze,Ultra Ball,Caught
Magikarp,Common,13,91,Paralyze,Ultra Ball,Caught
Zigzagoon,Common,13,94,Paralyze,Great Ball,Caught
Pidgey,Common,78,58,None,Poke Ball,Escaped
Caterpie,Common,17,25,Paralyze,Poke Ball,Caught
Arcanine,Rare,43,1,None,Ultra Ball,Escaped
Geodude,Common,92,5,Paralyze,Great Ball,Escaped
Weedle,Common,80,59,None,Ultra Ball,Escaped
Lugia,Legendary,82,31,None,Great Ball,Escaped
Dratini,Rare,69,89,Paralyze,Great Ball,Escaped
Arcanine,Rare,98,33,None,Ultra Ball,Escaped
Gible,Rare,35,76,None,Poke Ball,Escaped
Beldum,Rare,67,93,Paralyze,Great Ball,Escaped
Bidoof,Common,30,86,Sleep,Poke Ball,Caught
Bidoof,Common,50,3,Paralyze,Poke Ball,Caught
Geodude,Common,43,80,None,Poke Ball,Escaped
Gible,Rare,84,99,Sleep,Great Ball,Escaped
Pidgey,Common,94,71,Paralyze,Ultra Ball,Caught
Arceus,Legendary,69,10,None,Ultra Ball,Escaped
Zubat,Common,77,34,Sleep,Great Ball,Caught
Sentret,Common,56,24,None,Great Ball,Escaped
Beldum,Rare,76,99,Sleep,Ultra Ball,Caught
Zigzagoon,Common,53,15,Paralyze,Poke Ball,Caught
Groudon,Legendary,19,79,Paralyze,Poke Ball,Escaped
Caterpie,Common,28,31,None,Poke Ball,Escaped
Ho-Oh,Legendary,72,24,Sleep,Great Ball,Escaped
Poliwag,Common,67,16,Poison,Poke Ball,Escaped
Lugia,Legendary,49,58,Poison,Ultra Ball,Escaped
Gible,Rare,42,18,None,Ultra Ball,Escaped
Oddish,Common,54,26,None,Ultra Ball,Caught
Larvitar,Rare,72,68,Sleep,Poke Ball,Escaped
Oddish,Common,54,11,Paralyze,Poke Ball,Caught
Magikarp,Common,79,2,Paralyze,Ultra Ball,Caught
Gible,Rare,15,50,None,Great Ball,Escaped
Gible,Rare,27,65,Poison,Poke Ball,Escaped
Oddish,Common,91,67,None,Poke Ball,Escaped
Caterpie,Common,74,23,Paralyze,Poke Ball,Caught
Pidgey,Common,3,93,None,Great Ball,Escaped
Zubat,Common,95,45,None,Ultra Ball,Escaped
Chansey,Rare,83,63,Sleep,Great Ball,Escaped
Lapras,Rare,28,90,None,Great Ball,Escaped
Weedle,Common,65,9,None,Poke Ball,Escaped
Geodude,Common,2,16,Sleep,Ultra Ball,Caught
Oddish,Common,65,15,None,Poke Ball,Escaped
Chansey,Rare,25,92,Paralyze,Great Ball,Escaped
Groudon,Legendary,61,92,Poison,Ultra Ball,Escaped
Poliwag,Common,48,60,None,Poke Ball,Escaped
Sentret,Common,25,41,Poison,Ultra Ball,Caught
Oddish,Common,73,83,None,Poke Ball,Escaped
Palkia,Legendary,78,96,Poison,Ultra Ball,Escaped
Oddish,Common,65,73,None,Great Ball,Escaped
Pidgey,Common,62,76,Sleep,Poke Ball,Escaped
Zigzagoon,Common,91,16,None,Great Ball,Escaped
Pidgey,Common,95,36,None,Ultra Ball,Escaped
Kyogre,Legendary,18,94,None,Great Ball,Escaped
Chansey,Rare,24,9,None,Poke Ball,Escaped
Beldum,Rare,19,50,None,Great Ball,Escaped
Geodude,Common,78,94,None,Poke Ball,Escaped
Magikarp,Common,48,75,None,Great Ball,Escaped
Poliwag,Common,6,48,None,Great Ball,Caught
Chansey,Rare,46,95,None,Ultra Ball,Escaped
Rattata,Common,6,60,Paralyze,Great Ball,Caught
Magikarp,Common,31,63,None,Great Ball,Escaped
Sentret,Common,86,11,None,Great Ball,Escaped
Poliwag,Common,14,19,None,Great Ball,Caught
Poliwag,Common,95,10,None,Great Ball,Escaped
Lapras,Rare,67,11,None,Ultra Ball,Caught
Sentret,Common,26,90,Paralyze,Great Ball,Caught
Magikarp,Common,14,84,None,Poke Ball,Escaped
Snorlax,Rare,8,48,None,Ultra Ball,Escaped
Arceus,Legendary,40,32,None,Poke Ball,Escaped
Beldum,Rare,44,85,None,Ultra Ball,Escaped
Zubat,Common,13,8,Paralyze,Ultra Ball,Caught
Aerodactyl,Rare,19,85,None,Ultra Ball,Escaped
Gible,Rare,81,41,None,Great Ball,Escaped
Rattata,Common,42,19,None,Ultra Ball,Caught
Articuno,Legendary,15,20,Poison,Great Ball,Escaped
Pidgey,Common,91,56,Sleep,Great Ball,Escaped
Snorlax,Rare,45,40,Paralyze,Poke Ball,Escaped
Magikarp,Common,68,68,Sleep,Great Ball,Escaped
Rattata,Common,34,29,None,Ultra Ball,Caught
Poliwag,Common,15,88,Sleep,Great Ball,Caught
Mewtwo,Legendary,32,72,Sleep,Poke Ball,Escaped
Pidgey,Common,14,24,Sleep,Great Ball,Caught
Beldum,Rare,13,77,Poison,Poke Ball,Escaped
Gyarados,Rare,25,34,None,Great Ball,Escaped
Caterpie,Common,41,75,Sleep,Great Ball,Escaped
Caterpie,Common,76,65,Poison,Great Ball,Escaped
Snorlax,Rare,93,99,Poison,Ultra Ball,Escaped
Mewtwo,Legendary,77,14,None,Ultra Ball,Escaped
Magikarp,Common,74,34,Paralyze,Great Ball,Caught
Zapdos,Legendary,60,79,Poison,Great Ball,Escaped
Zigzagoon,Common,37,88,Sleep,Ultra Ball,Caught
Zigzagoon,Common,87,36,None,Great Ball,Escaped
Magikarp,Common,90,32,None,Great Ball,Escaped
Caterpie,Common,100,25,None,Ultra Ball,Caught
Giratina,Legendary,62,52,None,Great Ball,Escaped
Dialga,Legendary,9,16,None,Great Ball,Escaped
Bidoof,Common,43,19,None,Ultra Ball,Caught
Weedle,Common,89,57,Sleep,Great Ball,Escaped
Lapras,Rare,50,87,None,Poke Ball,Escaped
Zubat,Common,17,16,None,Great Ball,Caught
Rattata,Common,78,42,Poison,Poke Ball,Escaped
Bidoof,Common,76,20,None,Ultra Ball,Caught
Lugia,Legendary,84,21,None,Ultra Ball,Escaped
Zigzagoon,Common,17,97,Paralyze,Poke Ball,Caught
Sentret,Common,43,65,None,Poke Ball,Escaped
Lapras,Rare,62,64,None,Ultra Ball,Escaped
Magikarp,Common,87,14,None,Ultra Ball,Caught
Beldum,Rare,94,74,Paralyze,Ultra Ball,Escaped
Zigzagoon,Common,35,93,Poison,Ultra Ball,Escaped
Oddish,Common,93,49,Paralyze,Great Ball,Escaped
Caterpie,Common,17,9,Sleep,Great Ball,Caught
Bagon,Rare,42,78,Sleep,Great Ball,Escaped
Giratina,Legendary,85,23,None,Poke Ball,Escaped
Aerodactyl,Rare,8,70,None,Ultra Ball,Escaped
Caterpie,Common,51,55,None,Great Ball,Escaped
Scyther,Rare,94,69,Poison,Ultra Ball,Escaped
Lapras,Rare,52,27,Sleep,Poke Ball,Escaped
Scyther,Rare,34,99,Poison,Poke Ball,Escaped
Bidoof,Common,29,87,None,Poke Ball,Escaped
Mewtwo,Legendary,73,67,None,Great Ball,Escaped
Poliwag,Common,52,7,Sleep,Great Ball,Caught
Caterpie,Common,39,77,Paralyze,Great Ball,Caught
Lapras,Rare,76,46,Paralyze,Great Ball,Escaped
Gible,Rare,48,69,Sleep,Poke Ball,Escaped
Arceus,Legendary,91,17,None,Great Ball,Escaped
Articuno,Legendary,2,35,Poison,Poke Ball,Escaped
Scyther,Rare,49,13,None,Poke Ball,Escaped
Mewtwo,Legendary,59,41,Sleep,Great Ball,Escaped
Magikarp,Common,20,38,Poison,Poke Ball,Escaped
Oddish,Common,74,37,Sleep,Poke Ball,Escaped
Weedle,Common,24,27,Paralyze,Poke Ball,Caught
Oddish,Common,22,41,Sleep,Great Ball,Caught
Caterpie,Common,86,31,None,Great Ball,Escaped
Chansey,Rare,41,38,None,Poke Ball,Escaped
Mewtwo,Legendary,51,50,Poison,Great Ball,Escaped
Caterpie,Common,15,74,Paralyze,Poke Ball,Escaped
Ho-Oh,Legendary,54,10,None,Great Ball,Escaped
Lapras,Rare,26,93,None,Great Ball,Escaped
Gible,Rare,2,8,Poison,Poke Ball,Caught
Chansey,Rare,29,30,Paralyze,Great Ball,Escaped
Rattata,Common,95,45,Paralyze,Poke Ball,Escaped
Geodude,Common,95,91,Sleep,Ultra Ball,Escaped
Giratina,Legendary,18,44,None,Great Ball,Escaped
Oddish,Common,45,36,None,Ultra Ball,Caught
Bidoof,Common,80,85,Paralyze,Ultra Ball,Escaped
Poliwag,Common,26,97,Sleep,Poke Ball,Escaped
Bagon,Rare,1,51,None,Poke Ball,Escaped
Beldum,Rare,96,29,Paralyze,Poke Ball,Escaped
Aerodactyl,Rare,57,89,None,Great Ball,Escaped
Zubat,Common,100,59,Paralyze,Ultra Ball,Escaped
Sentret,Common,56,68,None,Ultra Ball,Escaped
Zigzagoon,Common,59,93,Sleep,Great Ball,Escaped
Scyther,Rare,18,23,None,Poke Ball,Escaped
Pidgey,Common,31,92,None,Ultra Ball,Caught
Gible,Rare,33,89,None,Ultra Ball,Escaped
Groudon,Legendary,97,3,None,Ultra Ball,Escaped
Weedle,Common,43,90,Sleep,Great Ball,Escaped
Pidgey,Common,81,34,None,Great Ball,Escaped
Poliwag,Common,8,54,None,Great Ball,Escaped
Gyarados,Rare,99,87,Poison,Poke Ball,Escaped
Larvitar,Rare,6,62,None,Great Ball,Escaped
Snorlax,Rare,56,21,None,Ultra Ball,Escaped
Snorlax,Rare,94,7,None,Great Ball,Escaped
Sentret,Common,93,53,Paralyze,Great Ball,Escaped
Gyarados,Rare,92,83,None,Great Ball,Escaped
Bagon,Rare,2,16,Poison,Ultra Ball,Caught
Bidoof,Common,13,86,Paralyze,Poke Ball,Caught
Chansey,Rare,44,6,None,Poke Ball,Escaped
